tag,release_id,asset_id,asset_nom,taille,sha256,url_supprimee
app-v3.9.6,272212885,331744394,sonar_3.9.6_x64-setup.exe,4720093,sha256:c747cb778463839e861f747299cfd8cdb0e4ce81dd2a775e16c290587c4615e7,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.9.6/sonar_3.9.6_x64-setup.exe
app-v3.10.0,275209704,337924782,sonar_3.10.0_x64-setup.exe,4893812,sha256:65c5624576c5aaac0e9f734390e4b0c1553f4f2b130c109ef5010d899f9f9404,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.10.0/sonar_3.10.0_x64-setup.exe
app-v3.10.7,277341569,341402851,sonar_3.10.7_x64-setup.exe,4905258,sha256:e8a5bf69ac6a86d9cb19e924dca53e7855ede2356625abac323cc331d2107d6a,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.10.7/sonar_3.10.7_x64-setup.exe
app-v3.10.8,282936080,350559945,sonar_3.10.8_x64-setup.exe,4875207,sha256:6e44d184df9b4d66bcc69e29c58abe5c2c28951a03378ea33ceea68a56025dce,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.10.8/sonar_3.10.8_x64-setup.exe
app-v3.10.9,292565561,366096961,sonar_3.10.9_x64-setup.exe,4874762,sha256:c8f9a5fa1b40f5b3f1695eaf4bf4e7aa0de6418e4c35f214138b2f1d914a0615,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.10.9/sonar_3.10.9_x64-setup.exe
app-v3.10.10,292570374,366103164,sonar_3.10.10_x64-setup.exe,4875497,sha256:7a836d5e525a1db12cb90d0360ff3dee99772901b59b2def0efea47233188600,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.10.10/sonar_3.10.10_x64-setup.exe
app-v3.10.11,293023674,366837402,sonar_3.10.10_x64-setup.exe,4883248,sha256:c0b34a212d7617970873ffbf918fcd0801905fababda57168126c227d52b41d1,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.10.11/sonar_3.10.10_x64-setup.exe
app-v3.11.0,293873758,368178529,sonar_3.11.0_x64-setup.exe,4901523,sha256:7308fcef99ca6be821690706b8692ea97633448ce10c11715d0a2bada32e1310,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.11.0/sonar_3.11.0_x64-setup.exe
app-v3.11.1,301682350,381901604,sonar_3.11.1_x64-setup.exe,209699540,sha256:75bc32c63a2d71a29efd4f449da32626ad8ebe9b8f2725ec81a58532e6793079,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.11.1/sonar_3.11.1_x64-setup.exe
app-v3.11.2,303656318,385495159,sonar_3.11.2_x64-setup.exe,4906042,sha256:94929bcd553b3dd81bad8fdf9ef3a4dd37c557fae1cae7c92cc9019712be39e9,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.11.2/sonar_3.11.2_x64-setup.exe
app-v3.12.0,308681219,395986278,sonar_3.12.0_x64-setup.exe,4920594,sha256:05d54bf02cdb66f60fe5d9e81c0d53df4ecd6aa6bb628e9c06254d67e0166e4d,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.12.0/sonar_3.12.0_x64-setup.exe
app-v3.12.2,311742901,401602391,sonar_3.12.2_x64-setup.exe,4907735,sha256:26f521afaa6598d6925bd2b4bb4f185d886dbbcaba94488cf1a3f5b3ca7ce2f5,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.12.2/sonar_3.12.2_x64-setup.exe
app-v3.12.3,314644681,407458066,sonar_3.12.2_x64-setup.exe,4908552,sha256:61ac5d0647ab6be52bf989f3267395929a094061bff8d2f1028aadd1d58ff301,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.12.3/sonar_3.12.2_x64-setup.exe
app-v3.13.2,318853520,414295977,sonar_3.13.2_x64-setup.exe,4919060,sha256:024108f4e02833afa90e9abffd1c2df5ac070c223cc596d5fb104362b84e73d8,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.2/sonar_3.13.2_x64-setup.exe
app-v3.13.3,318941546,414415836,sonar_3.13.3_x64-setup.exe,4922346,sha256:421939582dbc39a38402740ac157bcfb255f8f2f9ad7f5a8dbeab21472457923,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.3/sonar_3.13.3_x64-setup.exe
app-v3.13.4,319010148,414494528,sonar_3.13.4_x64-setup.exe,4920343,sha256:afb2a60cc1592122f2d549572a44d3f7f800ce5698aa05e05016bb996798583f,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.4/sonar_3.13.4_x64-setup.exe
app-v3.13.5,324170777,423162469,sonar_3.13.5_x64-setup.exe,4925428,sha256:aeb99056fe6d3e919fb8195664e651f4a033d295ebbe75883ccb8a64d30f9b02,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.5/sonar_3.13.5_x64-setup.exe
app-v3.13.6,324233151,423228572,sonar_3.13.6_x64-setup.exe,4919628,sha256:ebed825752687f8d82c86e69dbfed76b3d14e0800d6184509831874dfd1be32d,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.6/sonar_3.13.6_x64-setup.exe
app-v3.13.7,324256554,423252287,sonar_3.13.7_x64-setup.exe,4917896,sha256:b93c9cbd42cbe1d13357096ba4237ab7721df6b141aaad8f6cfe6ad107b55c2f,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.7/sonar_3.13.7_x64-setup.exe
app-v3.13.8,324267729,423264811,sonar_3.13.8_x64-setup.exe,4919996,sha256:839dd1da0bb3ca7b9978bcbd91887238a7e61846be3c22a06b6015fae23a5433,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.8/sonar_3.13.8_x64-setup.exe
app-v3.12.9,326010788,425277385,sonar_3.13.8_x64-setup.exe,4916330,sha256:bf795e623d0a3eadd5925d3ec7e47a80c1008ed85f9be2771ffae97551fa92f1,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.12.9/sonar_3.13.8_x64-setup.exe
app-v3.13.14,337299916,443797077,sonar-windows-x86_64-setup.exe,4919846,sha256:637e87b9ea18e123116df414e01cd3a6a035ec8f19899e95223bdf0f0fdcad4d,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.14/sonar-windows-x86_64-setup.exe
app-v3.13.19,337819640,444551830,sonar-windows-x86_64-setup.exe,4923705,sha256:bc1a3e30e0f6e19970ebc19afab27763a7b5970cdff4c1918adf96ac26731be9,https://github.com/Sonar-team/Sonar_desktop_app/releases/download/app-v3.13.19/sonar-windows-x86_64-setup.exe
