tag,classification,npcap_fichier,blob_sha1,sha256,release_publique,release_url,assets_windows
v2.2.2,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
v2.2.1,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
v2.2.4,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
app-v2.2.6,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
v2.2.8,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
app-v2.2.9,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
2.2.13,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
2.3.3,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
app-v2.3.6,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
3.4.0,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
app-v3.8.2,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,non,,
3.9.3,wix-dormant,src-tauri/windows/npcap-1.85.exe,791020dcbff25235b6c5eac32f28bdb32604669e,4038de8dfdd254d21ebc3269c21f138695a07de2d2fbe57181ce4c0da87531c7,non,,
3.10.1,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
app-v3.10.1,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
app-v3.10.2,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
app-v3.10.3,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
app-v3.10.4,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
app-v3.10.6,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
3.10.11,nsis-resource,src-tauri/windows/npcap-1.86.exe,d04b0408c560473352b87121b416802d8f445582,a4f7ab0c5850b819dc7a131213c16a9deaf8d32bceed7131fea38740ea788503,non,,
app-v3.12.1,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.0,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.1-hotfix,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.9,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.10,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.11,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.15,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.20,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v3.13.21,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
v3.13.23,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
v4.0.0,nsis-resource,src-tauri/windows/npcap-1.87.exe,ebebbe201f24ddc9a1697d9165ad36a09ef76bb6,142c234f09a9618d7cdc2c37f607d6fc06615fad5581f728b60d4ad659f906bd,non,,
app-v2.1.0,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,oui,https://github.com/Sonar-team/Sonar_desktop_app/releases/tag/app-v2.1.0,sonar_2.1.0_x64-setup.exe;sonar_2.1.0_x64_fr-FR.msi
app-v1.2.4,wix-dormant,src-tauri/windows/npcap-1.80.exe,691a5540cdba681a52fd375ffb876c3b2ab2c79e,ac4f26d7d9f994d6f04141b2266f02682def51af63c09c96a7268552c94a6535,oui,https://github.com/Sonar-team/Sonar_desktop_app/releases/tag/app-v1.2.4,sonar_2.1.4_x64-setup.exe;sonar_2.1.4_x64_fr-FR.msi
