tag,type,objet_sha,commit_sha,date_commit
2.2.13,commit,1c1032c5d0b1b606c6c0e91ababe908e1cd36a8c,1c1032c5d0b1b606c6c0e91ababe908e1cd36a8c,2025-06-06 10:51:51 +0200
2.3.3,commit,988897cc5ee0fe8694a6042dbbf34dfbb99d8f0e,988897cc5ee0fe8694a6042dbbf34dfbb99d8f0e,2025-09-02 13:58:27 +0200
3.10.1,commit,d99b9febfbff22b28b41223053e90c8ceb3b2285,d99b9febfbff22b28b41223053e90c8ceb3b2285,2026-01-15 14:44:51 +0100
3.10.11,commit,1ce24661e6ef6033df6445ca5bd5f64996a99117,1ce24661e6ef6033df6445ca5bd5f64996a99117,2026-03-04 15:56:53 +0100
3.4.0,commit,69727b9e97c530658014a240f750599b4f7f5e0b,69727b9e97c530658014a240f750599b4f7f5e0b,2025-10-31 08:54:59 +0100
3.9.3,commit,ecf8889f434452908a0f969783733ef6b6bd8ef9,ecf8889f434452908a0f969783733ef6b6bd8ef9,2025-12-12 10:37:52 +0100
app-v1.2.4,commit,cffe24c6e601ae96c91d6b2d5a75a9ead135730d,cffe24c6e601ae96c91d6b2d5a75a9ead135730d,2025-05-01 23:30:15 +0200
app-v2.1.0,commit,07684c4c20df224a79f51154bd3a7328c98d676c,07684c4c20df224a79f51154bd3a7328c98d676c,2025-03-18 18:22:08 +0100
app-v2.2.0,commit,d1f23d6e320b87465ea6188595910c05b0ab9b86,d1f23d6e320b87465ea6188595910c05b0ab9b86,2025-05-05 14:41:48 +0200
app-v2.2.1,commit,e99313028a50ac337e71c96e8287c140669e8073,e99313028a50ac337e71c96e8287c140669e8073,2025-05-05 14:59:22 +0200
app-v2.2.10,commit,308a12178fbedac660b294481707b6ada4a90717,308a12178fbedac660b294481707b6ada4a90717,2025-06-05 15:55:47 +0200
app-v2.2.11,commit,229907a5c183dd268198770550ff8620aab3ecdc,229907a5c183dd268198770550ff8620aab3ecdc,2025-06-05 16:04:52 +0200
app-v2.2.12,commit,55bf32888c1c1e92edc95c7781c471450153cc91,55bf32888c1c1e92edc95c7781c471450153cc91,2025-06-05 21:12:21 +0200
app-v2.2.13,commit,1c1032c5d0b1b606c6c0e91ababe908e1cd36a8c,1c1032c5d0b1b606c6c0e91ababe908e1cd36a8c,2025-06-06 10:51:51 +0200
app-v2.2.2,commit,044805a25f97a3debc83da8a17587afdcba9b23d,044805a25f97a3debc83da8a17587afdcba9b23d,2025-05-05 16:05:51 +0200
app-v2.2.3,commit,229b2839a9bd155827dfcc86d55fe8a9cf9b8bc7,229b2839a9bd155827dfcc86d55fe8a9cf9b8bc7,2025-05-07 09:10:53 +0200
app-v2.2.4,commit,3a0911408181d631fd1c85dfbdbe20e04a33571d,3a0911408181d631fd1c85dfbdbe20e04a33571d,2025-05-07 09:33:04 +0200
app-v2.2.5,commit,bcc5c062fe3b6d6faa1c37b8809808094c330ed8,bcc5c062fe3b6d6faa1c37b8809808094c330ed8,2025-05-12 09:47:57 +0200
app-v2.2.6,commit,1db4faf61518a5cc7d773cf272ae63e7042f65b5,1db4faf61518a5cc7d773cf272ae63e7042f65b5,2025-05-15 22:10:39 +0200
app-v2.2.7,commit,d28fa8ce68f79e8719e1abb00e95ada67ccd1f15,d28fa8ce68f79e8719e1abb00e95ada67ccd1f15,2025-05-15 23:00:28 +0200
app-v2.2.8,commit,ac2434e83be976612d49099025cbb583cfc9a689,ac2434e83be976612d49099025cbb583cfc9a689,2025-05-19 11:13:00 +0200
app-v2.2.9,commit,e9a42af28bbdf0a0cb7564c7b0d73af72fab3eb0,e9a42af28bbdf0a0cb7564c7b0d73af72fab3eb0,2025-06-05 15:28:58 +0200
app-v2.3.0,commit,69690b84ff6589ea586f5bf0906953bbabd6fd01,69690b84ff6589ea586f5bf0906953bbabd6fd01,2025-06-23 19:42:25 +0200
app-v2.3.1,commit,712732015041437c4f9687cb1179525bfe06ef8c,712732015041437c4f9687cb1179525bfe06ef8c,2025-06-24 11:46:23 +0200
app-v2.3.2,commit,0ae20b982263e06fb7cdd118b919ab4ab5833373,0ae20b982263e06fb7cdd118b919ab4ab5833373,2025-06-25 11:14:42 +0200
app-v2.3.3,commit,2f4610ce63ff75642820e7f48d2896eda9d09297,2f4610ce63ff75642820e7f48d2896eda9d09297,2025-07-10 17:11:01 +0200
app-v2.3.4,commit,77c0eeb0ac09c20800ae991b21bb310fbcc450ef,77c0eeb0ac09c20800ae991b21bb310fbcc450ef,2025-09-25 14:56:56 +0200
app-v2.3.5,commit,9f93fa801ad14d1dced190ec159f348c98deb298,9f93fa801ad14d1dced190ec159f348c98deb298,2025-09-25 15:22:52 +0200
app-v2.3.6,commit,cbb3fff556874657f36891ba7469f8dcc757cb4f,cbb3fff556874657f36891ba7469f8dcc757cb4f,2025-09-25 15:26:13 +0200
app-v2.3.7,commit,b7dcba13458875ccfc53da982da98322e794bc74,b7dcba13458875ccfc53da982da98322e794bc74,2025-09-25 15:48:38 +0200
app-v3.0.0,commit,6f520c781cc4aaedebdfe3f06edaed040d324485,6f520c781cc4aaedebdfe3f06edaed040d324485,2025-10-14 10:06:10 +0200
app-v3.0.1,commit,878ec45bd6f33d84208d42138625d34d7de4aeb5,878ec45bd6f33d84208d42138625d34d7de4aeb5,2025-10-14 11:08:13 +0200
app-v3.1.0,commit,79261d50775eb1f242cee0751d381c54fe056fbb,79261d50775eb1f242cee0751d381c54fe056fbb,2025-10-20 12:42:06 +0200
app-v3.10.0,commit,c2ab9721d20573ff989141f88ad66a28eb875655,c2ab9721d20573ff989141f88ad66a28eb875655,2026-01-08 16:08:44 +0100
app-v3.10.1,commit,48cb5ab708c88e0c193d76b77eefd66a9518d96d,48cb5ab708c88e0c193d76b77eefd66a9518d96d,2026-01-16 09:23:37 +0100
app-v3.10.10,commit,c7286ef4c9f6f4b28023195a449ce7e2d7130d98,c7286ef4c9f6f4b28023195a449ce7e2d7130d98,2026-03-03 15:21:58 +0100
app-v3.10.11,commit,1ce24661e6ef6033df6445ca5bd5f64996a99117,1ce24661e6ef6033df6445ca5bd5f64996a99117,2026-03-04 15:56:53 +0100
app-v3.10.2,commit,ee420d2a405067442de08438dc789c781f8cad7f,ee420d2a405067442de08438dc789c781f8cad7f,2026-01-16 09:29:43 +0100
app-v3.10.3,commit,6dee8b4d7d366637beb6b4873345e8de5a0ce239,6dee8b4d7d366637beb6b4873345e8de5a0ce239,2026-01-16 09:39:03 +0100
app-v3.10.4,commit,83f14da9aaf0dd5c7b04fb3ed55e0a5f63ebbb1c,83f14da9aaf0dd5c7b04fb3ed55e0a5f63ebbb1c,2026-01-16 10:21:27 +0100
app-v3.10.5,commit,705e20dc89173ff2319bcdb8125abb14cbbb962c,705e20dc89173ff2319bcdb8125abb14cbbb962c,2026-01-16 10:35:00 +0100
app-v3.10.6,commit,4bedc3c39cf6788a3608adf84bf2facd35172dc2,4bedc3c39cf6788a3608adf84bf2facd35172dc2,2026-01-16 10:46:22 +0100
app-v3.10.7,commit,6e2839488186c6cef17f312acd116b71406ec984,6e2839488186c6cef17f312acd116b71406ec984,2026-01-16 10:56:49 +0100
app-v3.10.8,commit,bc7a4bd3b9326fcdb2b227be766a584aa8a8a388,bc7a4bd3b9326fcdb2b227be766a584aa8a8a388,2026-02-04 12:44:10 +0100
app-v3.10.9,commit,789bd26710da66a53329a146b3f4e0955814320b,789bd26710da66a53329a146b3f4e0955814320b,2026-03-03 15:11:18 +0100
app-v3.11.0,commit,80360dceb07decc6cf7b2686dd013113ee411422,80360dceb07decc6cf7b2686dd013113ee411422,2026-03-06 11:09:32 +0100
app-v3.11.1,commit,7b091dde5f06a61768495cfc542e7c84ff804e1b,7b091dde5f06a61768495cfc542e7c84ff804e1b,2026-03-26 08:07:11 +0100
app-v3.11.2,commit,cf03f8a2ec062f5857798ffc8ead32641a51478d,cf03f8a2ec062f5857798ffc8ead32641a51478d,2026-03-31 13:31:36 +0200
app-v3.12.0,commit,71bea4c5dbda4ee9720db234501cd80b2cb56532,71bea4c5dbda4ee9720db234501cd80b2cb56532,2026-04-14 08:56:22 +0200
app-v3.12.1,commit,64c649c74a1853c45cc7bcc851a547016858ca56,64c649c74a1853c45cc7bcc851a547016858ca56,2026-04-21 14:51:52 +0200
app-v3.12.2,commit,df985a1cdda90c5f566ea086e143a333bcc484b1,df985a1cdda90c5f566ea086e143a333bcc484b1,2026-04-21 15:29:11 +0200
app-v3.12.3,commit,146805f3521b4a93af337de513da89abc14ed4a0,146805f3521b4a93af337de513da89abc14ed4a0,2026-04-28 16:24:01 +0200
app-v3.12.9,commit,daed469bc427c97f7333f37a5173f5a3afb08543,daed469bc427c97f7333f37a5173f5a3afb08543,2026-05-20 15:46:05 +0200
