mac_address_source,mac_address_destination,interface,ip_source,ip_destination,l_4_protocol,port_source,port_destination,count
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,114,100
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,53,400
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,52,402
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,142,100
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,110,58
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,407,58
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,108,42
00:00:00:00:00:00,00:00:00:00:00:00,lo,127.0.0.1,127.0.0.1,Tcp,17664,239,42
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,2620:1ec:21::14,Tcp,24580,3165,2
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,2620:1ec:21::14,Tcp,24583,7131,3
0a:87:c7:e6:6f:64,0a:87:c7:6e:e9:f1,enx0a87c76ee9f1,2620:1ec:21::14,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,Tcp,25856,0,16
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,2620:1ec:21::14,Tcp,24591,49427,11
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,2600:1901:0:38d7::,Tcp,24580,62244,2
0a:87:c7:e6:6f:64,0a:87:c7:6e:e9:f1,enx0a87c76ee9f1,2600:1901:0:38d7::,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,Tcp,25856,0,4
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,172.20.10.8,34.107.221.82,Tcp,17664,52,2
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,2600:1901:0:38d7::,Tcp,24587,62026,2
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,2606:50c0:8000::153,Tcp,24577,2055,6
0a:87:c7:e6:6f:64,0a:87:c7:6e:e9:f1,enx0a87c76ee9f1,34.107.221.82,172.20.10.8,Tcp,17744,52,2
0a:87:c7:e6:6f:64,0a:87:c7:6e:e9:f1,enx0a87c76ee9f1,2606:50c0:8000::153,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,Tcp,25856,0,6
0a:87:c7:e6:6f:64,0a:87:c7:6e:e9:f1,enx0a87c76ee9f1,64:ff9b::a29f:87ea,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,Tcp,25856,0,11
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::a29f:87ea,Tcp,24587,44871,11
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,24587,42292,2
0a:87:c7:e6:6f:64,0a:87:c7:6e:e9:f1,enx0a87c76ee9f1,64:ff9b::227b:21ba,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,Tcp,25856,0,14
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,25867,42292,1
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,25866,13256,1
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,24580,12740,2
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,25860,12740,1
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,25865,54751,1
0a:87:c7:6e:e9:f1,0a:87:c7:e6:6f:64,enx0a87c76ee9f1,2a04:cec0:11f6:d2fe:a16e:6531:991a:90e,64:ff9b::227b:21ba,Tcp,24583,17772,3
